embedding_id,source_type,source_id,text_chunk,chunk_index,token_count,model,vector_dim,created_at
EMB000022,doctor,DOC00007,"Dr. Dr. Rajesh Joshi, Psychiatry Specialist at Psychiatry. Qualification: MBBS, DM. Experience: 10 years. Consultation fee: ₹1200. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000023,doctor,DOC00008,"Dr. Dr. Nisha Pillai, Psychiatry Specialist at Psychiatry. Qualification: MBBS, DNB. Experience: 23 years. Consultation fee: ₹1200. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000024,doctor,DOC00009,"Dr. Dr. Kiran Hegde, Psychiatry Specialist at Psychiatry. Qualification: MBBS, DM. Experience: 18 years. Consultation fee: ₹500. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000025,doctor,DOC00010,"Dr. Dr. Rohit Das, Urology Specialist at Urology. Qualification: MBBS, MCh. Experience: 18 years. Consultation fee: ₹1000. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000026,doctor,DOC00011,"Dr. Dr. Priya Singh, Urology Specialist at Urology. Qualification: MBBS, MS. Experience: 27 years. Consultation fee: ₹1500. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000027,doctor,DOC00012,"Dr. Dr. Suresh Patel, Consultant Urology at Urology. Qualification: MBBS, MS. Experience: 4 years. Consultation fee: ₹1500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000028,doctor,DOC00013,"Dr. Dr. Deepa Bhat, Consultant Urology at Urology. Qualification: MBBS, MCh. Experience: 30 years. Consultation fee: ₹1500. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000029,doctor,DOC00014,"Dr. Dr. Kavita Rao, Consultant Urology at Urology. Qualification: MBBS, DNB. Experience: 7 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000030,doctor,DOC00015,"Dr. Dr. Kavita Patel, Urology Specialist at Urology. Qualification: MBBS, MD. Experience: 16 years. Consultation fee: ₹400. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000031,doctor,DOC00016,"Dr. Dr. Kiran Gupta, Anesthesiology Specialist at Anesthesiology. Qualification: MBBS, DNB. Experience: 27 years. Consultation fee: ₹1500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000032,doctor,DOC00017,"Dr. Dr. Ravi Gupta, Anesthesiology Specialist at Anesthesiology. Qualification: MBBS, DM. Experience: 29 years. Consultation fee: ₹700. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000033,doctor,DOC00018,"Dr. Dr. Anita Patel, Consultant Anesthesiology at Anesthesiology. Qualification: MBBS, MS. Experience: 8 years. Consultation fee: ₹1500. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000034,doctor,DOC00019,"Dr. Dr. Rajesh Sharma, Anesthesiology Specialist at Anesthesiology. Qualification: MBBS, DNB. Experience: 10 years. Consultation fee: ₹1500. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000035,doctor,DOC00020,"Dr. Dr. Anita Sharma, Consultant Anesthesiology at Anesthesiology. Qualification: MBBS, MS. Experience: 12 years. Consultation fee: ₹300. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000036,doctor,DOC00021,"Dr. Dr. Nisha Iyer, Consultant Pulmonology at Pulmonology. Qualification: MBBS, MS. Experience: 22 years. Consultation fee: ₹300. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000037,doctor,DOC00022,"Dr. Dr. Nisha Verma, Consultant Pulmonology at Pulmonology. Qualification: MBBS, MS. Experience: 15 years. Consultation fee: ₹1200. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000038,doctor,DOC00023,"Dr. Dr. Kavita Bhat, Heart Failure Specialist at Cardiology. Qualification: MBBS, MS. Experience: 23 years. Consultation fee: ₹1200. Available: Mon-Fri.",0,20,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000039,doctor,DOC00024,"Dr. Dr. Meena Singh, Heart Failure Specialist at Cardiology. Qualification: MBBS, DNB. Experience: 11 years. Consultation fee: ₹1200. Available: Mon-Sat.",0,20,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000040,doctor,DOC00025,"Dr. Dr. Arun Nair, Cardiac Electrophysiologist at Cardiology. Qualification: MBBS, DM. Experience: 15 years. Consultation fee: ₹1000. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000041,doctor,DOC00026,"Dr. Dr. Priya Reddy, Cardiac Electrophysiologist at Cardiology. Qualification: MBBS, MD. Experience: 25 years. Consultation fee: ₹400. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000042,doctor,DOC00027,"Dr. Dr. Meena Nair, Surgical Oncologist at Oncology. Qualification: MBBS, MCh. Experience: 22 years. Consultation fee: ₹300. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000043,doctor,DOC00028,"Dr. Dr. Nisha Nair, Surgical Oncologist at Oncology. Qualification: MBBS, DM. Experience: 19 years. Consultation fee: ₹600. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000044,doctor,DOC00029,"Dr. Dr. Priya Joshi, Radiation Oncologist at Oncology. Qualification: MBBS, DM. Experience: 30 years. Consultation fee: ₹300. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000045,doctor,DOC00030,"Dr. Dr. Arun Kumar, Radiation Oncologist at Oncology. Qualification: MBBS, MCh. Experience: 5 years. Consultation fee: ₹400. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000046,doctor,DOC00031,"Dr. Dr. Arjun Patel, Medical Oncologist at Oncology. Qualification: MBBS, DNB. Experience: 19 years. Consultation fee: ₹1200. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000047,doctor,DOC00032,"Dr. Dr. Nisha Reddy, Movement Disorder Specialist at Neurology. Qualification: MBBS, MD. Experience: 13 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,20,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000048,doctor,DOC00033,"Dr. Dr. Nisha Gupta, Stroke Specialist at Neurology. Qualification: MBBS, MS. Experience: 23 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000049,doctor,DOC00034,"Dr. Dr. Arun Kumar, Epileptologist at Neurology. Qualification: MBBS, MD. Experience: 10 years. Consultation fee: ₹1500. Available: Tue,Thu,Sat.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000050,doctor,DOC00035,"Dr. Dr. Arun Reddy, Epileptologist at Neurology. Qualification: MBBS, MD. Experience: 5 years. Consultation fee: ₹300. Available: Mon-Sat.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000051,doctor,DOC00036,"Dr. Dr. Nisha Gupta, Epileptologist at Neurology. Qualification: MBBS, MCh. Experience: 4 years. Consultation fee: ₹600. Available: Mon-Sat.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000052,doctor,DOC00037,"Dr. Dr. Nisha Kumar, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MD. Experience: 28 years. Consultation fee: ₹600. Available: Tue,Thu,Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000053,doctor,DOC00038,"Dr. Dr. Suresh Nair, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, DNB. Experience: 18 years. Consultation fee: ₹800. Available: Mon-Fri.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000054,doctor,DOC00039,"Dr. Dr. Sunita Reddy, Emergency Medicine Specialist at Emergency Medicine. Qualification: MBBS, DM. Experience: 24 years. Consultation fee: ₹800. Available: Mon-Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000055,doctor,DOC00040,"Dr. Dr. Arun Bhat, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MS. Experience: 5 years. Consultation fee: ₹700. Available: Tue,Thu,Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000056,doctor,DOC00041,"Dr. Dr. Arjun Gupta, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MS. Experience: 21 years. Consultation fee: ₹600. Available: Tue,Thu,Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000057,doctor,DOC00042,"Dr. Dr. Arun Patel, Surgical Oncologist at Oncology. Qualification: MBBS, DNB. Experience: 28 years. Consultation fee: ₹1000. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000058,doctor,DOC00043,"Dr. Dr. Suresh Das, Surgical Oncologist at Oncology. Qualification: MBBS, DM. Experience: 7 years. Consultation fee: ₹1000. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000059,doctor,DOC00044,"Dr. Dr. Kavita Rao, Medical Oncologist at Oncology. Qualification: MBBS, DNB. Experience: 5 years. Consultation fee: ₹400. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000060,doctor,DOC00045,"Dr. Dr. Pooja Bhat, Radiation Oncologist at Oncology. Qualification: MBBS, MD. Experience: 23 years. Consultation fee: ₹300. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000061,doctor,DOC00046,"Dr. Dr. Kavita Hegde, Gastroenterology Specialist at Gastroenterology. Qualification: MBBS, MS. Experience: 17 years. Consultation fee: ₹800. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000062,doctor,DOC00047,"Dr. Dr. Vikram Rao, Consultant Gastroenterology at Gastroenterology. Qualification: MBBS, DM. Experience: 18 years. Consultation fee: ₹700. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000063,doctor,DOC00048,"Dr. Dr. Suresh Das, Consultant Anesthesiology at Anesthesiology. Qualification: MBBS, MS. Experience: 21 years. Consultation fee: ₹400. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000064,doctor,DOC00049,"Dr. Dr. Deepa Kumar, Anesthesiology Specialist at Anesthesiology. Qualification: MBBS, DNB. Experience: 9 years. Consultation fee: ₹1000. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000065,doctor,DOC00050,"Dr. Dr. Ravi Rao, Radiology Specialist at Radiology. Qualification: MBBS, MCh. Experience: 5 years. Consultation fee: ₹300. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000066,doctor,DOC00051,"Dr. Dr. Arjun Das, Radiology Specialist at Radiology. Qualification: MBBS, DM. Experience: 15 years. Consultation fee: ₹1200. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000067,doctor,DOC00052,"Dr. Dr. Vikram Gupta, Radiology Specialist at Radiology. Qualification: MBBS, MS. Experience: 9 years. Consultation fee: ₹700. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000068,doctor,DOC00053,"Dr. Dr. Rajesh Verma, Interventional Cardiologist at Cardiology. Qualification: MBBS, MD. Experience: 3 years. Consultation fee: ₹800. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000069,doctor,DOC00054,"Dr. Dr. Nisha Gupta, Cardiac Electrophysiologist at Cardiology. Qualification: MBBS, DM. Experience: 15 years. Consultation fee: ₹1000. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000070,doctor,DOC00055,"Dr. Dr. Kiran Patel, Interventional Cardiologist at Cardiology. Qualification: MBBS, DM. Experience: 23 years. Consultation fee: ₹300. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000071,doctor,DOC00056,"Dr. Dr. Arjun Nair, Cardiac Electrophysiologist at Cardiology. Qualification: MBBS, MD. Experience: 28 years. Consultation fee: ₹1200. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000072,doctor,DOC00057,"Dr. Dr. Arun Bhat, Cardiac Electrophysiologist at Cardiology. Qualification: MBBS, DNB. Experience: 3 years. Consultation fee: ₹500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000073,doctor,DOC00058,"Dr. Dr. Meena Sharma, Consultant Dermatology at Dermatology. Qualification: MBBS, DNB. Experience: 14 years. Consultation fee: ₹1200. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000074,doctor,DOC00059,"Dr. Dr. Kiran Verma, Dermatology Specialist at Dermatology. Qualification: MBBS, MS. Experience: 9 years. Consultation fee: ₹500. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000075,doctor,DOC00060,"Dr. Dr. Arjun Reddy, Dermatology Specialist at Dermatology. Qualification: MBBS, MD. Experience: 23 years. Consultation fee: ₹1000. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000076,doctor,DOC00061,"Dr. Dr. Ravi Reddy, Consultant Dermatology at Dermatology. Qualification: MBBS, MCh. Experience: 11 years. Consultation fee: ₹500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000077,doctor,DOC00062,"Dr. Dr. Rohit Joshi, Consultant Dermatology at Dermatology. Qualification: MBBS, DM. Experience: 18 years. Consultation fee: ₹500. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000078,doctor,DOC00063,"Dr. Dr. Meena Verma, General Pediatrician at Pediatrics. Qualification: MBBS, MCh. Experience: 18 years. Consultation fee: ₹1500. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000079,doctor,DOC00064,"Dr. Dr. Pooja Singh, Neonatologist at Pediatrics. Qualification: MBBS, MS. Experience: 6 years. Consultation fee: ₹1500. Available: Mon-Fri.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000080,doctor,DOC00065,"Dr. Dr. Priya Iyer, Rheumatology Specialist at Rheumatology. Qualification: MBBS, MS. Experience: 30 years. Consultation fee: ₹1200. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000081,doctor,DOC00066,"Dr. Dr. Rajesh Nair, Consultant Rheumatology at Rheumatology. Qualification: MBBS, MD. Experience: 28 years. Consultation fee: ₹1000. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000082,doctor,DOC00067,"Dr. Dr. Anita Nair, Consultant Rheumatology at Rheumatology. Qualification: MBBS, DM. Experience: 28 years. Consultation fee: ₹700. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000083,doctor,DOC00068,"Dr. Dr. Priya Patel, Rheumatology Specialist at Rheumatology. Qualification: MBBS, DM. Experience: 14 years. Consultation fee: ₹1200. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000084,doctor,DOC00069,"Dr. Dr. Anita Hegde, Rheumatology Specialist at Rheumatology. Qualification: MBBS, DNB. Experience: 9 years. Consultation fee: ₹700. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000085,doctor,DOC00070,"Dr. Dr. Sunita Kumar, Pulmonology Specialist at Pulmonology. Qualification: MBBS, MS. Experience: 23 years. Consultation fee: ₹400. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000086,doctor,DOC00071,"Dr. Dr. Sunita Bhat, Consultant Pulmonology at Pulmonology. Qualification: MBBS, MCh. Experience: 14 years. Consultation fee: ₹800. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000087,doctor,DOC00072,"Dr. Dr. Ravi Sharma, Consultant Pulmonology at Pulmonology. Qualification: MBBS, DNB. Experience: 17 years. Consultation fee: ₹700. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000088,doctor,DOC00073,"Dr. Dr. Arjun Sharma, Epileptologist at Neurology. Qualification: MBBS, MCh. Experience: 19 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000089,doctor,DOC00074,"Dr. Dr. Kavita Iyer, Stroke Specialist at Neurology. Qualification: MBBS, MCh. Experience: 10 years. Consultation fee: ₹700. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000090,doctor,DOC00075,"Dr. Dr. Vikram Bhat, Epileptologist at Neurology. Qualification: MBBS, MS. Experience: 5 years. Consultation fee: ₹1000. Available: Tue,Thu,Sat.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000091,doctor,DOC00076,"Dr. Dr. Arun Rao, Epileptologist at Neurology. Qualification: MBBS, DM. Experience: 26 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000092,doctor,DOC00077,"Dr. Dr. Sunita Das, Epileptologist at Neurology. Qualification: MBBS, DM. Experience: 6 years. Consultation fee: ₹800. Available: Mon-Fri.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000093,doctor,DOC00078,"Dr. Dr. Priya Verma, Movement Disorder Specialist at Neurology. Qualification: MBBS, MCh. Experience: 6 years. Consultation fee: ₹300. Available: Mon-Fri.",0,20,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000094,doctor,DOC00079,"Dr. Dr. Rajesh Kumar, Endocrinology Specialist at Endocrinology. Qualification: MBBS, MS. Experience: 4 years. Consultation fee: ₹400. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000095,doctor,DOC00080,"Dr. Dr. Rajesh Bhat, Endocrinology Specialist at Endocrinology. Qualification: MBBS, DM. Experience: 29 years. Consultation fee: ₹600. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000096,doctor,DOC00081,"Dr. Dr. Pooja Kumar, Endocrinology Specialist at Endocrinology. Qualification: MBBS, MS. Experience: 19 years. Consultation fee: ₹500. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000097,doctor,DOC00082,"Dr. Dr. Kavita Menon, Consultant Endocrinology at Endocrinology. Qualification: MBBS, DM. Experience: 21 years. Consultation fee: ₹300. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000098,doctor,DOC00083,"Dr. Dr. Priya Joshi, Endocrinology Specialist at Endocrinology. Qualification: MBBS, MCh. Experience: 25 years. Consultation fee: ₹400. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000099,doctor,DOC00084,"Dr. Dr. Sunita Reddy, Gastroenterology Specialist at Gastroenterology. Qualification: MBBS, MCh. Experience: 7 years. Consultation fee: ₹700. Available: Mon,Wed,Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000100,doctor,DOC00085,"Dr. Dr. Arun Gupta, Consultant Gastroenterology at Gastroenterology. Qualification: MBBS, DNB. Experience: 13 years. Consultation fee: ₹500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000101,doctor,DOC00086,"Dr. Dr. Arjun Bhat, Consultant Gastroenterology at Gastroenterology. Qualification: MBBS, MS. Experience: 24 years. Consultation fee: ₹300. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000102,doctor,DOC00087,"Dr. Dr. Anita Gupta, Consultant Gastroenterology at Gastroenterology. Qualification: MBBS, MCh. Experience: 4 years. Consultation fee: ₹700. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000103,doctor,DOC00088,"Dr. Dr. Nisha Hegde, Consultant Endocrinology at Endocrinology. Qualification: MBBS, MD. Experience: 15 years. Consultation fee: ₹500. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000104,doctor,DOC00089,"Dr. Dr. Nisha Das, Consultant Endocrinology at Endocrinology. Qualification: MBBS, MS. Experience: 21 years. Consultation fee: ₹800. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000105,doctor,DOC00090,"Dr. Dr. Arjun Bhat, Endocrinology Specialist at Endocrinology. Qualification: MBBS, MS. Experience: 7 years. Consultation fee: ₹400. Available: Mon-Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000106,doctor,DOC00091,"Dr. Dr. Pooja Rao, Endocrinology Specialist at Endocrinology. Qualification: MBBS, MCh. Experience: 30 years. Consultation fee: ₹1200. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000107,doctor,DOC00092,"Dr. Dr. Pooja Gupta, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MD. Experience: 21 years. Consultation fee: ₹700. Available: Mon-Fri.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000108,doctor,DOC00093,"Dr. Dr. Kiran Gupta, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MD. Experience: 3 years. Consultation fee: ₹700. Available: Mon-Fri.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000109,doctor,DOC00094,"Dr. Dr. Meena Patel, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, MS. Experience: 20 years. Consultation fee: ₹1200. Available: Mon-Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
